date,CAPITL,CENTRL,DUNWOD,GENESE,HUD VL,LONGIL,MHK VL,MILLWD,N.Y.C.,NORTH,WEST,Total
2010-04-01 00:05:00,986.2,1542.2,511.7,911.2,936.0,1946.5,680.6,263.5,4940.6,448.1,1581.5,14748.1
2010-04-01 00:10:00,973.7,1539.6,509.9,903.8,941.2,1915.2,678.4,253.8,4924.5,431.0,1575.8,14646.9
2010-04-01 00:15:00,974.1,1517.9,512.4,904.0,911.5,1909.8,676.5,238.0,4904.6,452.4,1580.6,14581.800000000001
2010-04-01 00:20:00,962.5,1531.4,491.5,901.6,912.5,1880.2,673.9,259.3,4816.9,447.5,1553.6,14430.9
2010-04-01 00:25:00,961.0,1524.5,487.6,902.6,910.4,1886.2,659.4,257.3,4783.5,451.4,1556.4,14380.3
2010-04-01 00:30:00,951.5,1528.2,482.4,888.6,885.2,1871.3,661.5,262.7,4774.9,454.8,1561.6,14322.699999999999
2010-04-01 00:35:00,943.4,1500.1,495.6,884.4,886.9,1872.0,668.2,249.8,4735.6,451.5,1539.6,14227.1
2010-04-01 00:40:00,944.5,1476.1,471.7,880.8,867.2,1852.4,652.8,268.3,4729.6,464.3,1555.1,14162.800000000001
2010-04-01 00:45:00,937.6,1475.2,476.7,877.3,904.4,1840.6,663.8,254.4,4678.6,450.4,1549.8,14108.8
2010-04-01 00:50:00,878.9,1510.6,490.8,870.1,886.9,1814.7,661.2,243.5,4678.8,463.6,1544.0,14043.1
2010-04-01 00:55:00,929.6,1514.7,483.0,871.0,890.3,1808.9,655.9,248.3,4648.7,447.9,1524.7,14023.0
2010-04-01 01:00:00,922.0,1497.0,481.3,870.4,872.8,1795.3,651.0,249.5,4603.5,450.1,1522.7,13915.6
2010-04-01 01:05:00,907.9,1492.3,477.2,863.4,880.6,1780.9,645.9,244.3,4590.1,444.1,1524.2,13850.900000000001
2010-04-01 01:10:00,903.3,1498.4,477.0,859.4,863.8,1775.4,657.1,248.3,4560.6,449.5,1514.6,13807.4
2010-04-01 01:15:00,910.7,1509.2,468.4,853.1,858.4,1758.9,650.5,245.7,4564.9,449.1,1515.7,13784.6
2010-04-01 01:20:00,904.9,1494.0,469.6,861.8,866.1,1752.0,653.9,235.2,4526.4,445.6,1508.1,13717.6
2010-04-01 01:25:00,900.8,1492.9,473.1,858.5,856.7,1752.7,652.3,244.4,4505.2,447.3,1515.6,13699.499999999998
2010-04-01 01:30:00,901.9,1491.3,455.3,856.1,852.1,1751.4,646.6,245.0,4507.0,453.6,1515.4,13675.7
2010-04-01 01:35:00,898.0,1443.8,471.8,854.6,858.3,1740.7,647.2,226.2,4461.2,446.5,1499.7,13548.0
